rank,x,y,original_rgb,mask,chosen_palette,chosen_family,bucket,chosen_lab_distance,nearest_green,nearest_green_lab_distance,chosen_minus_nearest_green,green_weighted_choice
"1","13","65","194,224,89","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","88.72","Yellowish Green (326)","16.17","72.56","Yellowish Green (326)"
"2","19","75","220,245,111","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","92.52","Yellowish Green (326)","20.24","72.28","Yellowish Green (326)"
"3","11","66","209,240,112","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","89.57","Yellowish Green (326)","18.76","70.81","Yellowish Green (326)"
"4","8","65","210,235,103","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","89.85","Yellowish Green (326)","19.27","70.58","Yellowish Green (326)"
"5","9","65","207,231,99","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","89.05","Yellowish Green (326)","19.26","69.79","Yellowish Green (326)"
"6","12","64","221,242,116","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","89.32","Yellowish Green (326)","22.71","66.61","Yellowish Green (326)"
"7","13","64","212,236,111","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","87.74","Yellowish Green (326)","21.22","66.52","Yellowish Green (326)"
"8","15","63","228,250,129","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","89.38","Yellowish Green (326)","24.82","64.56","Yellowish Green (326)"
"9","11","64","224,244,123","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","88.12","Yellowish Green (326)","24.50","63.62","Yellowish Green (326)"
"10","10","64","228,245,127","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","87.42","Yellowish Green (326)","26.34","61.07","Yellowish Green (326)"
"11","17","74","222,243,128","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","85.94","Yellowish Green (326)","25.72","60.22","Yellowish Green (326)"
"12","9","64","230,247,132","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","86.88","Yellowish Green (326)","27.45","59.44","Yellowish Green (326)"
"13","28","69","125,158,72","greenSkin skin feature","Black Grey (A29)","neutral","black","64.58","Olive Green (330)","7.03","57.55","Olive Green (330)"
"14","17","65","117,145,56","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","58.60","Olive Green (330)","3.46","55.14","Olive Green (330)"
"15","14","63","235,254,148","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","85.59","Yellowish Green (326)","30.76","54.83","Light Yellow (LY1)"
"16","18","70","125,160,67","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","62.76","Olive Green (330)","8.61","54.15","Olive Green (330)"
"17","16","69","118,149,62","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","58.51","Olive Green (330)","4.59","53.92","Olive Green (330)"
"18","17","66","109,142,49","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","60.17","Olive Green (330)","6.32","53.85","Olive Green (330)"
"19","21","68","115,147,60","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","58.32","Olive Green (330)","4.79","53.53","Olive Green (330)"
"20","19","70","119,156,65","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","61.54","Olive Green (330)","8.06","53.48","Olive Green (330)"
"21","16","70","130,160,73","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","60.03","Olive Green (330)","6.97","53.06","Olive Green (330)"
"22","17","70","140,172,80","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","64.04","Olive Green (330)","11.37","52.67","Olive Green (330)"
"23","36","103","104,163,76","greenSkin skin","Black Grey (A29)","neutral","black","68.18","Green (28)","15.62","52.55","Green (28)"
"24","20","69","130,166,78","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","61.73","Olive Green (330)","9.91","51.83","Olive Green (330)"
"25","41","96","104,148,67","greenSkin skin feature","Black Grey (A29)","neutral","black","61.50","Olive Green (330)","9.76","51.73","Olive Green (330)"
"26","16","68","103,136,46","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","58.26","Olive Green (330)","6.61","51.65","Olive Green (330)"
